persona,seed,day,meal_type,product_id,quality,price
TAYLOR_BASE,42,1,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,1,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,1,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,1,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,1,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,1,lunch,drink_medium,medium,3.73
TAYLOR_BASE,42,1,dinner,chicken_medium,medium,29.98
TAYLOR_BASE,42,1,dinner,rice_medium,medium,12.48
TAYLOR_BASE,42,1,dinner,vegetables_medium,medium,32.48
TAYLOR_BASE,42,2,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,2,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,2,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,2,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,2,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,2,lunch,drink_medium,medium,3.73
TAYLOR_BASE,42,2,dinner,chicken_medium,medium,29.98
TAYLOR_BASE,42,2,dinner,rice_medium,medium,12.48
TAYLOR_BASE,42,2,dinner,vegetables_medium,medium,32.48
TAYLOR_BASE,42,3,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,3,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,3,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,3,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,3,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,3,lunch,drink_medium,medium,3.73
TAYLOR_BASE,42,3,dinner,chicken_medium,medium,29.98
TAYLOR_BASE,42,3,dinner,rice_medium,medium,12.48
TAYLOR_BASE,42,3,dinner,vegetables_medium,medium,32.48
TAYLOR_BASE,42,4,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,4,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,4,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,4,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,4,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,4,lunch,drink_medium,medium,3.73
TAYLOR_BASE,42,4,dinner,chicken_medium,medium,29.98
TAYLOR_BASE,42,4,dinner,rice_medium,medium,12.48
TAYLOR_BASE,42,4,dinner,vegetables_medium,medium,32.48
TAYLOR_BASE,42,5,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,5,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,5,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,5,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,5,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,5,lunch,drink_medium,medium,3.73
TAYLOR_BASE,42,5,dinner,chicken_medium,medium,29.98
TAYLOR_BASE,42,5,dinner,rice_medium,medium,12.48
TAYLOR_BASE,42,5,dinner,vegetables_medium,medium,32.48
TAYLOR_BASE,42,6,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,6,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,6,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,6,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,6,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,6,lunch,drink_medium,medium,3.73
TAYLOR_BASE,42,6,dinner,chicken_medium,medium,29.98
TAYLOR_BASE,42,6,dinner,rice_medium,medium,12.48
TAYLOR_BASE,42,6,dinner,vegetables_medium,medium,32.48
TAYLOR_BASE,42,7,breakfast,ham_medium,medium,22.48
TAYLOR_BASE,42,7,breakfast,cheese_medium,medium,32.48
TAYLOR_BASE,42,7,breakfast,bread_premium,premium,18.69
TAYLOR_BASE,42,7,lunch,soup_medium,medium,7.48
TAYLOR_BASE,42,7,lunch,sandwich_medium,medium,9.98
TAYLOR_BASE,42,7,lunch,drink_medium,medium,3.73
